Symbol,Name
SPY,SPDR S&P 500 ETF Trust
QQQ,Invesco Nasdaq-100 ETF
IWM,iShares Russell 2000 ETF
DIA,SPDR DJIA ETF Trust
AAPL,Apple Inc. Common Stock
MSFT,Microsoft Corporation Common Stock
TSLA,Tesla Inc. Common Stock
GOOGL,Alphabet Inc. Class A Common Stock
AMZN,Amazon.com Inc. Common Stock
GOOG,Alphabet Inc. Class C Capital Stock
